Time (s),Raw Altitude (m),Filtered Altitude (m),Speed (m/s),Z Acceleration (m/s^2),Events,Actions
-3.40,0.44,0.44,0.00,0.00,"",""
-3.35,0.36,0.42,-0.48,0.00,"",""
-3.30,0.59,0.47,1.03,30.14,"",""
-3.25,0.36,0.44,-0.62,-33.03,"",""
-3.20,0.44,0.44,0.02,12.89,"",""
-3.15,0.28,0.39,-0.94,-19.30,"",""
-3.10,0.20,0.33,-1.17,-4.59,"",""
-3.05,0.33,0.33,-0.08,21.86,"",""
-3.00,0.22,0.29,-0.72,-12.69,"",""
-2.95,0.28,0.28,-0.16,11.07,"",""
-2.90,0.40,0.31,0.61,15.36,"",""
-2.85,0.30,0.31,-0.15,-15.11,"",""
-2.80,0.00,0.21,-1.91,-35.13,"",""
-2.75,0.31,0.23,0.46,47.38,"",""
-2.70,0.23,0.23,-0.13,-11.91,"",""
-2.65,0.21,0.22,-0.21,-1.58,"",""
-2.60,0.16,0.19,-0.45,-4.76,"",""
-2.55,0.03,0.14,-1.11,-13.10,"",""
-2.50,0.22,0.16,0.33,28.78,"",""
-2.45,0.27,0.18,0.55,4.39,"",""
-2.40,0.13,0.16,-0.43,-19.59,"",""
-2.35,0.16,0.16,-0.13,5.97,"",""
-2.30,0.28,0.19,0.63,15.20,"",""
-2.25,0.48,0.27,1.67,20.77,"",""
-2.20,0.43,0.32,0.93,-14.76,"",""
-2.15,0.33,0.32,0.09,-16.91,"",""
-2.10,0.34,0.33,0.12,0.73,"",""
-2.05,0.13,0.27,-1.17,-25.86,"",""
-2.00,0.21,0.25,-0.38,15.79,"",""
-1.95,0.10,0.20,-0.94,-11.15,"",""
-1.90,0.14,0.18,-0.45,9.81,"",""
-1.85,0.12,0.16,-0.45,0.04,"",""
-1.80,0.26,0.18,0.52,19.24,"",""
-1.75,0.10,0.16,-0.58,-21.84,"",""
-1.70,0.11,0.14,-0.36,4.32,"",""
-1.65,0.17,0.14,0.10,9.19,"",""
-1.60,0.22,0.16,0.38,5.57,"",""
-1.55,0.30,0.20,0.76,7.68,"",""
-1.50,0.11,0.17,-0.58,-26.77,"",""
-1.45,0.39,0.23,1.26,36.69,"",""
-1.40,0.44,0.29,1.23,-0.61,"",""
-1.35,0.29,0.29,0.00,-24.50,"",""
-1.30,0.39,0.33,0.60,11.95,"",""
-1.25,0.42,0.36,0.62,0.39,"",""
-1.20,0.39,0.37,0.27,-6.94,"",""
-1.15,0.36,0.37,0.02,-5.12,"",""
-1.10,0.23,0.33,-0.77,-15.77,"",""
-1.05,0.29,0.32,-0.21,11.21,"",""
-1.00,0.32,0.32,0.02,4.67,"",""
-0.95,0.28,0.31,-0.22,-4.96,"",""
-0.90,0.38,0.33,0.43,13.16,"",""
-0.85,0.31,0.33,-0.10,-10.72,"",""
-0.80,0.31,0.32,-0.08,0.51,"",""
-0.75,0.26,0.31,-0.36,-5.62,"",""
-0.70,0.49,0.36,1.12,29.47,"",""
-0.65,0.21,0.32,-0.86,-39.52,"",""
-0.60,0.18,0.28,-0.82,0.91,"",""
-0.55,0.29,0.28,0.06,17.50,"",""
-0.50,0.37,0.31,0.52,9.29,"",""
-0.45,0.41,0.34,0.63,2.03,"",""
-0.40,0.36,0.35,0.16,-9.33,"",""
-0.35,0.47,0.39,0.78,12.32,"",""
-0.30,0.26,0.35,-0.69,-29.35,"",""
-0.25,0.40,0.37,0.33,20.40,"",""
-0.20,0.28,0.34,-0.48,-16.18,"",""
-0.15,0.25,0.32,-0.54,-1.10,"",""
-0.10,0.29,0.31,-0.15,7.61,"",""
-0.05,0.25,0.29,-0.35,-3.99,"",""
0.00,0.27,0.28,-0.14,4.28,"Launched (Inferred)",""
0.05,1.80,0.74,9.08,184.36,"",""
0.10,2.12,1.17,8.59,-9.69,"",""
0.15,2.63,1.64,9.36,15.36,"",""
0.20,3.60,2.27,12.67,66.20,"",""
0.25,4.35,2.96,13.77,21.96,"",""
0.30,5.95,3.94,19.66,117.74,"",""
0.35,8.09,5.30,27.20,150.92,"",""
0.40,10.86,7.13,36.50,185.92,"",""
0.45,13.05,9.12,39.81,66.22,"",""
0.50,16.13,11.49,47.53,154.35,"",""
0.55,19.72,14.30,56.20,173.47,"Launched (Detected)",""
0.60,23.01,17.34,60.71,90.11,"",""
0.65,27.70,20.95,72.34,232.60,"",""
0.70,32.17,24.93,79.48,142.86,"",""
0.75,36.03,28.98,80.97,29.78,"",""
0.80,40.37,33.22,84.83,77.32,"",""
0.85,44.33,37.48,85.29,9.11,"",""
0.90,50.90,42.54,101.18,317.75,"",""
0.95,56.13,47.78,104.71,70.69,"",""
1.00,60.00,52.73,99.02,-113.75,"",""
1.05,63.75,57.43,94.00,-100.51,"",""
1.10,69.67,62.59,103.22,184.34,"",""
1.15,76.20,68.27,113.55,206.80,"",""
1.20,80.99,73.80,110.61,-58.93,"",""
1.25,87.03,79.59,115.82,104.31,"",""
1.30,93.78,85.78,123.81,159.71,"",""
1.35,99.87,92.06,125.61,35.95,"",""
1.40,106.00,98.41,127.05,28.82,"",""
1.45,112.36,104.88,129.37,46.44,"",""
1.50,119.32,111.61,134.56,103.86,"",""
1.55,125.88,118.40,135.87,26.09,"",""
1.60,132.93,125.38,139.65,75.66,"",""
1.65,139.95,132.49,142.14,49.77,"",""
1.70,146.36,139.50,140.20,-38.88,"",""
1.75,153.41,146.63,142.49,45.98,"",""
1.80,160.85,153.95,146.42,78.54,"",""
1.85,167.68,161.22,145.55,-17.51,"",""
1.90,174.41,168.43,144.20,-26.94,"",""
1.95,181.40,175.67,144.67,9.46,"",""
2.00,189.16,183.14,149.55,97.56,"",""
2.05,195.81,190.46,146.39,-63.21,"",""
2.10,202.26,197.60,142.78,-72.27,"",""
2.15,207.86,204.35,134.94,-156.72,"",""
2.20,214.17,211.02,133.37,-31.39,"",""
2.25,220.70,217.69,133.49,2.28,"",""
2.30,227.17,224.35,133.16,-6.47,"",""
2.35,233.31,230.90,130.90,-45.26,"",""
2.40,239.89,237.49,131.83,18.69,"",""
2.45,246.01,243.97,129.72,-42.19,"",""
2.50,251.90,250.31,126.76,-59.33,"",""
2.55,257.42,256.43,122.33,-88.62,"",""
2.60,263.61,262.58,123.07,14.79,"",""
2.65,269.97,268.81,124.61,30.97,"",""
2.70,276.04,275.01,124.00,-12.34,"",""
2.75,282.18,281.21,123.95,-1.02,"",""
2.80,287.84,287.26,121.01,-58.66,"",""
2.85,293.79,293.29,120.58,-8.60,"",""
2.90,299.38,299.19,118.10,-49.70,"",""
2.95,305.62,305.20,120.16,41.32,"",""
3.00,311.02,311.03,116.64,-70.48,"",""
3.05,317.08,316.93,118.00,27.27,"",""
3.10,322.67,322.74,116.19,-36.35,"",""
3.15,327.99,328.41,113.23,-59.16,"",""
3.20,333.85,334.12,114.30,21.34,"",""
3.25,339.59,339.84,114.37,1.41,"",""
3.30,345.09,345.49,112.98,-27.68,"",""
3.35,350.59,351.09,111.97,-20.27,"",""
3.40,355.66,356.52,108.65,-66.38,"",""
3.45,361.66,362.11,111.80,62.96,"",""
3.50,366.95,367.60,109.86,-38.67,"",""
3.55,372.04,372.96,107.25,-52.29,"",""
3.60,377.48,378.34,107.44,3.76,"",""
3.65,382.73,383.66,106.45,-19.76,"",""
3.70,387.92,388.93,105.38,-21.46,"",""
3.75,393.40,394.24,106.34,19.30,"",""
3.80,399.45,399.77,110.49,82.89,"",""
3.85,403.90,404.97,103.94,-130.82,"",""
3.90,408.65,410.01,100.94,-60.06,"",""
3.95,413.46,414.97,99.11,-36.62,"",""
4.00,418.58,419.95,99.64,10.69,"",""
4.05,423.39,424.86,98.20,-28.89,"",""
4.10,428.59,429.84,99.50,25.98,"",""
4.15,433.81,434.87,100.60,21.93,"",""
4.20,438.81,439.87,100.10,-9.90,"",""
4.25,443.49,444.76,97.83,-45.36,"",""
4.30,448.06,449.54,95.52,-46.22,"",""
4.35,452.54,454.20,93.30,-44.39,"",""
4.40,457.62,458.97,95.29,39.81,"",""
4.45,462.12,463.63,93.30,-39.84,"",""
4.50,466.72,468.26,92.46,-16.88,"",""
4.55,471.61,472.94,93.60,22.85,"",""
4.60,476.54,477.67,94.70,22.06,"",""
4.65,480.95,482.29,92.41,-45.79,"",""
4.70,485.24,486.79,90.03,-47.72,"",""
4.75,489.35,491.15,87.21,-56.27,"",""
4.80,493.86,495.53,87.57,7.11,"",""
4.85,498.22,499.88,86.96,-12.24,"",""
4.90,502.87,504.29,88.27,26.31,"",""
4.95,507.32,508.70,88.06,-4.17,"",""
5.00,511.52,513.02,86.43,-32.64,"",""
5.05,516.28,517.45,88.61,43.63,"",""
5.10,519.87,521.61,83.22,-107.89,"",""
5.15,524.11,525.77,83.17,-0.95,"",""
5.20,528.17,529.87,82.08,-21.77,"",""
5.25,532.34,533.97,81.97,-2.31,"",""
5.30,536.60,538.09,82.45,9.62,"",""
5.35,540.91,542.25,83.13,13.56,"",""
5.40,544.91,546.34,81.79,-26.79,"",""
5.45,549.03,550.42,81.54,-4.89,"",""
5.50,553.14,554.48,81.32,-4.36,"",""
5.55,556.54,558.33,76.92,-87.99,"",""
5.60,560.51,562.18,77.13,4.13,"",""
5.65,564.25,565.98,75.93,-24.03,"",""
5.70,568.29,569.82,76.87,18.84,"",""
5.75,572.47,573.75,78.43,31.17,"",""
5.80,576.38,577.64,77.98,-9.03,"",""
5.85,580.01,581.44,75.99,-39.86,"",""
5.90,583.74,585.20,75.14,-16.91,"",""
5.95,587.00,588.79,71.72,-68.40,"",""
6.00,590.86,592.43,72.83,22.16,"",""
6.05,594.33,595.99,71.33,-29.97,"",""
6.10,598.01,599.57,71.51,3.64,"",""
6.15,601.66,603.14,71.49,-0.43,"",""
6.20,605.18,606.68,70.72,-15.44,"",""
6.25,608.79,610.22,70.71,-0.11,"",""
6.30,612.39,613.75,70.67,-0.83,"",""
6.35,615.80,617.23,69.52,-22.98,"",""
6.40,618.98,620.59,67.32,-44.08,"",""
6.45,622.45,623.96,67.46,2.83,"",""
6.50,625.75,627.29,66.57,-17.84,"",""
6.55,629.14,630.62,66.47,-1.86,"",""
6.60,632.41,633.90,65.71,-15.30,"",""
6.65,635.62,637.14,64.81,-18.00,"",""
6.70,638.99,640.40,65.13,6.41,"",""
6.75,642.23,643.63,64.61,-10.43,"",""
6.80,645.47,646.84,64.25,-7.24,"",""
6.85,648.61,650.01,63.40,-16.90,"",""
6.90,651.87,653.19,63.52,2.39,"",""
6.95,654.96,656.32,62.61,-18.22,"",""
7.00,657.79,659.34,60.40,-44.20,"",""
7.05,660.76,662.32,59.63,-15.28,"",""
7.10,663.85,665.31,59.82,3.63,"",""
7.15,666.63,668.22,58.11,-34.06,"",""
7.20,669.67,671.14,58.44,6.60,"",""
7.25,672.49,674.01,57.39,-21.07,"",""
7.30,675.38,676.86,57.06,-6.65,"",""
7.35,678.38,679.74,57.50,8.77,"",""
7.40,681.17,682.56,56.58,-18.31,"",""
7.45,684.05,685.39,56.47,-2.25,"",""
7.50,686.94,688.21,56.47,-0.04,"",""
7.55,689.49,690.93,54.45,-40.43,"",""
7.60,692.12,693.61,53.46,-19.73,"",""
7.65,694.59,696.20,51.80,-33.27,"",""
7.70,697.15,698.75,51.13,-13.21,"",""
7.75,699.80,701.31,51.21,1.57,"",""
7.80,702.22,703.81,49.92,-25.96,"",""
7.85,705.11,706.40,51.80,37.77,"",""
7.90,707.66,708.96,51.18,-12.56,"",""
7.95,710.24,711.50,50.91,-5.25,"",""
8.00,712.69,714.00,49.96,-19.07,"",""
8.05,715.31,716.52,50.30,6.77,"",""
8.10,717.81,719.01,49.85,-9.03,"",""
8.15,720.09,721.42,48.21,-32.68,"",""
8.20,722.62,723.85,48.53,6.34,"",""
8.25,724.77,726.17,46.50,-40.54,"",""
8.30,726.96,728.44,45.27,-24.63,"",""
8.35,729.31,730.70,45.35,1.52,"",""
8.40,731.52,732.93,44.59,-15.24,"",""
8.45,733.89,735.18,45.01,8.42,"",""
8.50,736.02,737.38,43.90,-22.19,"",""
8.55,738.29,739.57,43.94,0.88,"",""
8.60,740.47,741.75,43.45,-9.75,"",""
8.65,742.67,743.91,43.23,-4.38,"",""
8.70,744.79,746.04,42.61,-12.44,"",""
8.75,746.81,748.12,41.57,-20.77,"",""
8.80,748.81,750.15,40.71,-17.29,"",""
8.85,751.01,752.22,41.29,11.68,"",""
8.90,753.03,754.25,40.66,-12.61,"",""
8.95,754.93,756.23,39.50,-23.31,"",""
9.00,756.82,758.16,38.60,-17.96,"",""
9.05,758.59,760.02,37.24,-27.21,"",""
9.10,760.68,761.93,38.18,18.80,"",""
9.15,762.37,763.75,36.49,-33.75,"",""
9.20,764.34,765.60,36.95,9.16,"",""
9.25,766.23,767.44,36.83,-2.45,"",""
9.30,768.07,769.26,36.46,-7.42,"",""
9.35,769.70,771.01,34.94,-30.29,"",""
9.40,771.60,772.78,35.47,10.49,"",""
9.45,773.13,774.47,33.65,-36.29,"",""
9.50,774.94,776.17,34.01,7.28,"",""
9.55,776.62,777.84,33.52,-9.85,"",""
9.60,777.37,779.22,27.60,-118.47,"",""
9.65,779.60,780.83,32.14,90.89,"",""
9.70,781.25,782.43,32.03,-2.24,"",""
9.75,782.69,783.97,30.71,-26.48,"",""
9.80,783.88,785.38,28.25,-49.11,"",""
9.85,785.48,786.83,28.93,13.49,"Subsonic check passed",""
9.90,787.06,788.29,29.32,7.96,"",""
9.95,788.41,789.70,28.26,-21.34,"",""
10.00,789.59,791.03,26.47,-35.72,"",""
10.05,791.17,792.41,27.58,22.14,"",""
10.10,792.75,793.83,28.41,16.70,"",""
10.15,793.96,795.17,26.83,-31.75,"",""
10.20,794.64,796.29,22.50,-86.61,"",""
10.25,796.30,797.55,25.21,54.30,"",""
10.30,798.03,798.94,27.65,48.81,"",""
10.35,798.69,800.09,23.04,-92.15,"",""
10.40,800.00,801.27,23.57,10.54,"",""
10.45,801.80,802.61,26.92,66.97,"",""
10.50,802.51,803.76,22.86,-81.20,"",""
10.55,804.04,805.00,24.81,38.96,"",""
10.60,805.07,806.16,23.26,-30.99,"",""
10.65,805.82,807.18,20.45,-56.09,"",""
10.70,807.31,808.33,22.85,47.90,"",""
10.75,808.30,809.41,21.63,-24.38,"",""
10.80,808.89,810.32,18.35,-65.62,"",""
10.85,809.97,811.27,18.89,10.90,"",""
10.90,811.25,812.29,20.52,32.44,"",""
10.95,812.05,813.24,18.85,-33.36,"",""
11.00,812.78,814.10,17.22,-32.61,"",""
11.05,813.61,814.93,16.64,-11.61,"",""
11.10,814.45,815.74,16.29,-6.94,"",""
11.15,815.45,816.60,17.01,14.50,"",""
11.20,816.37,817.45,17.09,1.44,"",""
11.25,816.89,818.19,14.76,-46.60,"",""
11.30,817.49,818.86,13.54,-24.32,"",""
11.35,818.75,819.70,16.63,61.71,"",""
11.40,819.19,820.40,13.99,-52.63,"",""
11.45,819.75,821.03,12.79,-24.00,"",""
11.50,820.53,821.70,13.25,9.12,"",""
11.55,821.20,822.34,12.95,-6.11,"",""
11.60,822.01,823.02,13.58,12.66,"",""
11.65,822.61,823.66,12.80,-15.55,"",""
11.70,822.98,824.21,10.86,-38.73,"",""
11.75,823.49,824.72,10.30,-11.35,"",""
11.80,824.08,825.24,10.38,1.63,"",""
11.85,824.70,825.77,10.64,5.17,"",""
11.90,791.18,816.07,-194.00,-4092.65,"",""
11.95,827.10,819.69,72.25,5325.02,"",""
12.00,830.95,823.48,75.90,72.96,"",""
12.05,832.44,826.70,64.31,-231.80,"",""
12.10,833.47,829.34,52.92,-227.81,"",""
12.15,834.77,831.65,46.08,-136.77,"",""
12.20,835.59,833.55,38.12,-159.36,"",""
12.25,832.55,834.00,9.05,-581.27,"",""
12.30,855.52,841.19,143.72,2693.36,"",""
12.35,831.25,839.16,-40.72,-3688.75,"",""
12.40,853.80,844.38,104.43,2902.87,"",""
12.45,851.09,847.36,59.67,-895.22,"",""
12.50,844.69,847.58,4.48,-1103.61,"Reached apogee (Inferred)",""
12.55,825.48,841.93,-112.99,-2349.47,"",""
12.60,832.47,839.83,-42.09,1418.01,"",""
12.65,833.78,838.64,-23.81,365.57,"",""
12.70,839.97,839.59,19.02,856.50,"",""
12.75,838.25,839.75,3.10,-318.21,"",""
12.80,833.96,838.54,-24.02,-542.40,"",""
12.85,833.65,837.54,-20.05,79.38,"",""
12.90,831.63,836.18,-27.32,-145.48,"",""
12.95,829.86,834.62,-31.11,-75.76,"",""
13.00,829.18,833.26,-27.28,76.48,"",""
13.05,831.76,833.01,-4.84,448.84,"",""
13.10,834.70,833.71,13.87,374.32,"",""
13.15,828.92,832.47,-24.67,-770.90,"",""
13.20,828.56,831.45,-20.50,83.49,"",""
13.25,827.64,830.41,-20.73,-4.77,"",""
13.30,827.46,829.59,-16.43,86.16,"",""
13.35,828.31,829.24,-7.04,187.76,"",""
13.40,829.16,829.24,-0.11,138.65,"",""
13.45,828.33,828.98,-5.08,-99.42,"",""
13.50,828.56,828.86,-2.37,54.15,"Reached apogee (Detected)","Channel 2 turned on"
13.55,824.76,827.64,-24.55,-443.60,"Begun descending",""
13.60,828.15,827.75,2.29,536.84,"",""
13.65,827.43,827.62,-2.59,-97.76,"",""
13.70,827.24,827.47,-3.01,-8.37,"",""
13.75,826.38,827.10,-7.34,-86.50,"",""
13.80,826.22,826.79,-6.31,20.49,"",""
13.85,826.52,826.65,-2.79,70.48,"",""
13.90,828.39,827.11,9.23,240.37,"",""
13.95,826.43,826.86,-4.92,-282.89,"",""
14.00,825.98,826.55,-6.27,-27.11,"",""
14.05,826.08,826.35,-3.96,46.21,"",""
14.10,826.08,826.21,-2.85,22.13,"",""
14.15,826.32,826.18,-0.60,45.15,"",""
14.20,825.67,825.97,-4.28,-73.58,"",""
14.25,825.30,825.70,-5.30,-20.52,"",""
14.30,825.12,825.45,-4.91,7.81,"",""
14.35,824.65,825.14,-6.36,-28.94,"",""
14.40,824.44,824.84,-5.86,10.03,"",""
14.45,824.95,824.79,-1.16,93.92,"",""
14.50,825.03,824.77,-0.28,17.55,"",""
14.55,824.98,824.75,-0.42,-2.75,"",""
14.60,825.07,824.77,0.31,14.70,"",""
14.65,823.69,824.37,-7.97,-165.66,"",""
14.70,822.89,823.84,-10.58,-52.25,"",""
14.75,822.01,823.19,-12.97,-47.80,"",""
14.80,821.31,822.51,-13.63,-13.25,"",""
14.85,820.73,821.84,-13.38,5.01,"",""
14.90,821.26,821.51,-6.52,137.25,"",""
14.95,822.22,821.57,1.12,152.81,"",""
15.00,820.61,821.14,-8.68,-196.01,"",""
15.05,817.91,820.01,-22.43,-275.06,"",""
15.10,819.47,819.66,-6.98,309.19,"",""
15.15,817.56,818.84,-16.40,-188.52,"",""
15.20,818.03,818.39,-9.05,147.10,"",""
15.25,818.79,818.30,-1.88,143.30,"",""
15.30,817.46,817.84,-9.15,-145.36,"",""
15.35,817.01,817.38,-9.22,-1.39,"",""
15.40,817.06,817.07,-6.26,59.09,"",""
15.45,816.30,816.62,-8.95,-53.66,"",""
15.50,815.20,815.97,-12.96,-80.24,"","Channel 2 turned off"
15.55,814.05,815.16,-16.20,-64.88,"",""
15.60,813.21,814.33,-16.72,-10.25,"",""
15.65,813.20,813.72,-12.10,92.40,"",""
15.70,813.56,813.40,-6.46,112.65,"",""
15.75,814.18,813.36,-0.76,114.15,"",""
15.80,816.16,813.94,11.60,247.05,"",""
15.85,817.93,814.91,19.40,156.14,"",""
15.90,815.14,814.80,-2.25,-433.10,"",""
15.95,813.81,814.32,-9.45,-144.04,"",""
16.00,811.56,813.31,-20.27,-216.37,"",""
16.05,810.40,812.23,-21.68,-28.08,"",""
16.10,810.04,811.33,-17.88,75.89,"",""
16.15,812.72,811.49,3.18,421.13,"",""
16.20,812.37,811.52,0.49,-53.68,"",""
16.25,813.84,811.99,9.42,178.57,"",""
16.30,811.00,811.49,-9.89,-386.20,"",""
16.35,809.19,810.60,-17.93,-160.82,"",""
16.40,807.74,809.51,-21.67,-74.85,"",""
16.45,808.37,808.92,-11.92,195.01,"",""
16.50,811.67,809.48,11.29,464.26,"",""
16.55,811.09,809.74,5.08,-124.20,"",""
16.60,807.63,808.90,-16.80,-437.55,"",""
16.65,806.52,807.96,-18.80,-40.00,"",""
16.70,805.02,806.83,-22.59,-75.82,"",""
16.75,804.32,805.80,-20.55,40.70,"",""
16.80,803.44,804.79,-20.11,8.86,"",""
16.85,802.60,803.82,-19.52,11.75,"",""
16.90,802.56,803.10,-14.27,105.04,"",""
16.95,803.37,802.84,-5.29,179.57,"",""
17.00,803.05,802.56,-5.47,-3.45,"",""
17.05,802.99,802.36,-4.04,28.50,"",""
17.10,802.42,802.06,-6.06,-40.40,"",""
17.15,800.89,801.39,-13.31,-145.08,"",""
17.20,800.36,800.76,-12.65,13.26,"",""
17.25,800.19,800.26,-10.00,53.10,"",""
17.30,799.51,799.71,-11.10,-22.05,"",""
17.35,799.03,799.17,-10.71,7.81,"",""
17.40,798.56,798.65,-10.36,7.00,"",""
17.45,798.85,798.38,-5.54,96.39,"",""
17.50,797.97,797.93,-9.02,-69.53,"",""
17.55,796.66,797.22,-14.16,-102.84,"",""
17.60,796.06,796.53,-13.68,9.60,"",""
17.65,795.76,795.96,-11.52,43.22,"",""
17.70,795.12,795.36,-11.96,-8.89,"",""
17.75,794.72,794.82,-10.84,22.32,"",""
17.80,795.12,794.56,-5.22,112.48,"",""
17.85,794.32,794.14,-8.29,-61.30,"",""
17.90,793.84,793.71,-8.63,-6.82,"",""
17.95,793.61,793.34,-7.38,24.93,"",""
18.00,793.16,792.95,-7.79,-8.11,"",""
18.05,791.99,792.33,-12.41,-92.44,"",""
18.10,791.71,791.81,-10.47,38.79,"",""
18.15,791.44,791.36,-8.98,29.81,"",""
18.20,790.99,790.91,-8.96,0.34,"",""
18.25,790.26,790.38,-10.63,-33.37,"",""
18.30,789.85,789.88,-9.94,13.85,"",""
18.35,788.34,789.08,-16.03,-121.78,"",""
18.40,787.72,788.32,-15.16,17.30,"",""
18.45,786.91,787.54,-15.65,-9.86,"",""
18.50,786.50,786.86,-13.61,40.93,"",""
18.55,786.34,786.33,-10.59,60.27,"",""
18.60,785.92,785.84,-9.93,13.21,"",""
18.65,785.41,785.34,-9.99,-1.09,"",""
18.70,785.33,784.96,-7.45,50.77,"",""
18.75,784.99,784.61,-7.14,6.09,"",""
18.80,784.63,784.25,-7.05,1.97,"",""
18.85,784.56,783.99,-5.24,36.13,"",""
18.90,784.29,783.74,-5.12,2.44,"",""
18.95,784.25,783.55,-3.66,29.23,"",""
19.00,783.88,783.32,-4.57,-18.28,"",""
19.05,783.71,783.12,-4.05,10.35,"",""
19.10,783.48,782.92,-4.04,0.24,"",""
19.15,783.46,782.78,-2.78,25.20,"",""
19.20,783.26,782.63,-2.94,-3.24,"",""
19.25,782.96,782.45,-3.67,-14.59,"",""
19.30,782.59,782.22,-4.64,-19.31,"",""
19.35,782.41,782.01,-4.21,8.45,"",""
19.40,782.39,781.86,-2.95,25.30,"",""
19.45,782.20,781.71,-3.05,-1.92,"",""
19.50,782.13,781.59,-2.40,12.83,"",""
19.55,782.16,781.52,-1.34,21.28,"",""
19.60,782.24,781.51,-0.27,21.48,"",""
19.65,782.67,781.64,2.61,57.59,"",""
19.70,782.81,781.79,2.98,7.31,"",""
19.75,782.20,781.72,-1.27,-84.93,"",""
19.80,781.89,781.59,-2.60,-26.73,"",""
19.85,781.79,781.48,-2.33,5.41,"",""
19.90,781.89,781.43,-0.94,27.89,"",""
19.95,780.93,781.12,-6.28,-106.80,"",""
20.00,780.98,780.91,-4.15,42.57,"",""
20.05,781.02,780.78,-2.64,30.14,"",""
20.10,780.21,780.44,-6.64,-79.87,"",""
20.15,779.79,780.08,-7.24,-11.98,"",""
20.20,779.66,779.79,-5.93,26.07,"",""
20.25,779.03,779.39,-7.97,-40.75,"",""
20.30,778.62,778.98,-8.15,-3.52,"",""
20.35,778.32,778.60,-7.61,10.72,"",""
20.40,777.70,778.14,-9.13,-30.41,"",""
20.45,777.16,777.65,-9.76,-12.67,"",""
20.50,776.61,777.14,-10.28,-10.38,"",""
20.55,776.13,776.63,-10.24,0.92,"",""
20.60,775.82,776.17,-9.18,21.24,"",""
20.65,775.38,775.71,-9.17,0.16,"",""
20.70,774.36,775.08,-12.64,-69.38,"",""
20.75,773.70,774.43,-13.02,-7.69,"",""
20.80,773.34,773.85,-11.49,30.56,"",""
20.85,773.12,773.38,-9.52,39.48,"",""
20.90,772.96,772.99,-7.70,36.37,"",""
20.95,772.58,772.61,-7.68,0.41,"",""
21.00,772.62,772.35,-5.14,50.71,"",""
21.05,772.51,772.14,-4.18,19.28,"",""
21.10,772.50,772.00,-2.88,26.09,"",""
21.15,772.90,772.03,0.54,68.27,"",""
21.20,773.33,772.19,3.22,53.63,"",""
21.25,773.33,772.32,2.60,-12.45,"",""
21.30,773.19,772.38,1.28,-26.29,"",""
21.35,773.20,772.44,1.20,-1.63,"",""
21.40,773.09,772.46,0.41,-15.84,"",""
21.45,772.58,772.33,-2.59,-59.87,"",""
21.50,772.25,772.15,-3.72,-22.59,"",""
21.55,772.10,771.97,-3.47,4.92,"",""
21.60,772.02,771.83,-2.87,11.98,"",""
21.65,772.20,771.78,-0.87,39.97,"",""
21.70,772.10,771.73,-1.09,-4.28,"",""
21.75,771.58,771.54,-3.77,-53.67,"",""
21.80,771.02,771.24,-5.99,-44.36,"",""
21.85,770.77,770.95,-5.76,4.59,"",""
21.90,769.91,770.49,-9.25,-69.76,"",""
21.95,769.36,770.00,-9.95,-14.02,"",""
22.00,768.79,769.47,-10.57,-12.53,"",""
22.05,768.43,768.98,-9.76,16.18,"",""
22.10,768.43,768.63,-7.00,55.30,"",""
22.15,768.27,768.33,-5.92,21.61,"",""
22.20,767.63,767.93,-8.00,-41.66,"",""
22.25,767.61,767.64,-5.81,43.80,"",""
22.30,767.22,767.32,-6.42,-12.12,"",""
22.35,767.14,767.07,-5.00,28.30,"",""
22.40,766.53,766.71,-7.14,-42.77,"",""
22.45,766.16,766.35,-7.27,-2.65,"",""
22.50,765.80,765.98,-7.31,-0.70,"",""
22.55,765.78,765.72,-5.29,40.35,"",""
22.60,765.82,765.55,-3.45,36.91,"",""
22.65,765.33,765.28,-5.27,-36.49,"",""
22.70,764.40,764.82,-9.26,-79.70,"",""
22.75,763.47,764.21,-12.19,-58.59,"",""
22.80,762.97,763.62,-11.75,8.66,"",""
22.85,762.22,762.98,-12.92,-23.41,"",""
22.90,761.25,762.22,-15.09,-43.41,"",""
22.95,760.60,761.49,-14.76,6.72,"",""
23.00,760.24,760.85,-12.76,40.03,"",""
23.05,759.90,760.29,-11.15,32.09,"",""
23.10,759.75,759.85,-8.82,46.57,"",""
23.15,760.00,759.61,-4.71,82.34,"",""
23.20,760.06,759.47,-2.82,37.75,"",""
23.25,759.85,759.32,-3.06,-4.77,"",""
23.30,759.83,759.22,-2.10,19.12,"",""
23.35,760.01,759.20,-0.21,37.89,"",""
23.40,760.37,759.32,2.26,49.27,"",""
23.45,760.17,759.35,0.70,-31.23,"",""
23.50,760.11,759.37,0.37,-6.47,"",""
23.55,759.84,759.31,-1.14,-30.20,"",""
23.60,759.60,759.21,-2.08,-18.82,"",""
23.65,758.88,758.93,-5.66,-71.59,"",""
23.70,758.60,758.64,-5.65,0.06,"",""
23.75,757.64,758.16,-9.73,-81.54,"",""
23.80,757.55,757.78,-7.51,44.48,"",""
23.85,757.03,757.36,-8.45,-18.75,"",""
23.90,756.84,757.00,-7.15,25.89,"",""
23.95,756.56,756.67,-6.73,8.33,"",""
24.00,756.16,756.31,-7.15,-8.23,"",""
24.05,756.06,756.03,-5.65,29.98,"",""
24.10,756.32,755.91,-2.38,65.28,"",""
24.15,756.82,755.98,1.46,76.77,"",""
